run_id,run_started_at,is_official_collection_window,collection_type,node_id,node_name,status,fused_velocity,fused_congestion_ratio,los,congestion_level,confidence,observation_count,weight_sum
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N01_LY_THUONG_KIET,Ly Thuong Kiet,ok,32.7778,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N02_BA_THANG_HAI,Ba Thang Hai,ok,33.0,0.0,B,thoang,1.0,3,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N03_CMT8,Cach Mang Thang Tam,ok,31.7778,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N04_THANH_THAI,Thanh Thai,ok,30.7778,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N05_TO_HIEN_THANH,To Hien Thanh,ok,30.2222,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N06_NGUYEN_TRI_PHUONG,Nguyen Tri Phuong,ok,33.3333,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N07_SU_VAN_HANH,Su Van Hanh,ok,34.0,0.0,B,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N08_DIEN_BIEN_PHU,Dien Bien Phu,ok,41.0,0.0,A,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N09_CONG_HOA,Cong Hoa,ok,37.3333,0.0,A,thoang,1.0,9,1.0
20260724T183808Z,2026-07-24T18:38:08+00:00,True,official_collection_window,N10_TRUONG_CHINH,Truong Chinh,ok,32.6667,0.0,B,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N01_LY_THUONG_KIET,Ly Thuong Kiet,ok,32.7778,0.0,E,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N02_BA_THANG_HAI,Ba Thang Hai,ok,33.0,0.0,E,thoang,1.0,3,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N03_CMT8,Cach Mang Thang Tam,ok,34.0,0.0,E,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N04_THANH_THAI,Thanh Thai,ok,30.7778,0.0,E,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N05_TO_HIEN_THANH,To Hien Thanh,ok,30.2222,0.0,E,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N06_NGUYEN_TRI_PHUONG,Nguyen Tri Phuong,ok,33.7778,0.0,E,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N07_SU_VAN_HANH,Su Van Hanh,ok,28.6667,0.0,E,trung_binh,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N08_DIEN_BIEN_PHU,Dien Bien Phu,ok,41.0,0.0,F,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N09_CONG_HOA,Cong Hoa,ok,37.3333,0.0,F,thoang,1.0,9,1.0
20260724T184601Z,2026-07-24T18:46:01+00:00,True,official_collection_window,N10_TRUONG_CHINH,Truong Chinh,ok,32.6667,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N01_LY_THUONG_KIET,Ly Thuong Kiet,ok,32.7778,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N02_BA_THANG_HAI,Ba Thang Hai,ok,28.7972,0.0252,E,trung_binh,0.996,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N03_CMT8,Cach Mang Thang Tam,ok,34.0,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N04_THANH_THAI,Thanh Thai,ok,30.7778,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N05_TO_HIEN_THANH,To Hien Thanh,ok,30.2222,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N06_NGUYEN_TRI_PHUONG,Nguyen Tri Phuong,ok,33.3333,0.0,E,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N07_SU_VAN_HANH,Su Van Hanh,ok,28.6667,0.0,E,trung_binh,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N08_DIEN_BIEN_PHU,Dien Bien Phu,ok,41.0,0.0,F,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N09_CONG_HOA,Cong Hoa,ok,35.6667,0.0427,F,thoang,1.0,9,1.0
20260724T191330Z,2026-07-24T19:13:30+00:00,True,official_collection_window,N10_TRUONG_CHINH,Truong Chinh,ok,32.6667,0.0,E,thoang,1.0,9,1.0
