run_id,run_started_at,is_official_collection_window,collection_type,node_id,count,mean_velocity,std_velocity,min_velocity,max_velocity,skew_velocity
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N01_LY_THUONG_KIET,9,22.8889,2.0787,19.0,24.0,-1.3363
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N02_CONG_HOA,9,26.8889,1.663,26.0,30.0,1.3363
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N03_TRUONG_CHINH,9,22.1111,2.6851,15.0,24.0,-1.9092
