run_id,run_started_at,is_official_collection_window,collection_type,node_id,node_name,status,fused_velocity,fused_congestion_ratio,los,congestion_level,confidence,observation_count,weight_sum
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N01_LY_THUONG_KIET,Ly Thuong Kiet,ok,22.8889,0.3148,C,trung_binh,1.0,9,1.0
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N02_CONG_HOA,Cong Hoa,ok,26.8889,0.2825,C,trung_binh,1.0,9,1.0
20260427T104558Z,2026-04-27T10:45:58+00:00,True,official_collection_window,N03_TRUONG_CHINH,Truong Chinh,ok,22.1111,0.2878,C,trung_binh,1.0,9,1.0
