run_id,run_started_at,is_official_collection_window,collection_type,node_id,count,mean_velocity,std_velocity,min_velocity,max_velocity,skew_velocity
20260427T104242Z,2026-04-27T10:42:42+00:00,True,official_collection_window,N01_LY_THUONG_KIET,9,23.4444,2.9102,18.0,25.0,-1.3363
20260427T104242Z,2026-04-27T10:42:42+00:00,True,official_collection_window,N02_CONG_HOA,9,25.0,0.0,25.0,25.0,0.0
20260427T104242Z,2026-04-27T10:42:42+00:00,True,official_collection_window,N03_TRUONG_CHINH,9,23.0,2.9814,15.0,25.0,-2.0125
